municipio_id,municipio_nombre,municipio_lat,municipio_lon,provincia_id
540427,CORPUS,-27.1463492893014227,-55.5070851678502777,54
540434,GENERAL J. J. URQUIZA,-27.0500317841879365,-55.3936187774799293,54
540441,GOBERNADOR ROCA,-27.2531814207831928,-55.3680377708939062,54
540448,HIPÓLITO IRIGOYEN,-27.1001832606050606,-55.3071982607111963,54
540455,JARDÍN AMÉRICA,-27.0873119097213504,-55.1946087942068999,54
540462,SAN IGNACIO,-27.2933473519192802,-55.4592623960159088,54
540469,SANTO PIPO,-27.2063287575880679,-55.2795707965949745,54
540476,AMEGHINO,-27.6952894204322888,-55.0615940730353302,54
540483,ITACARUARÉ,-27.8358055260116117,-55.2793085457893341,54
540490,MOJÓN GRANDE,-27.7257081241474204,-55.1202260917369387,54
540497,SAN JAVIER,-27.8093657596003325,-55.1540444936225427,54
540504,SAN PEDRO,-26.7112090360394809,-53.9412291264285244,54
540511,ALBA POSSE,-27.4811807319862389,-54.7985455372283994,54
540518,COLONIA AURORA,-27.3576371079951635,-54.4485723077611254,54
540525,25 DE MAYO,-27.3331053109932434,-54.6814951271054497,54
549999,VILLA LAGO MELIQUINA,-40.404262519833658,-71.2085623180023077,54
540287,OLEGARIO V. ANDRADE,-27.5656210470432157,-55.4966789911990688,54
540343,MONTECARLO,-26.6397797294580059,-54.5625759117352729,54
580007,ALUMINÉ,-39.234273402944325,-70.9120954468479283,58
580014,AÑELO,-38.3598393457538833,-68.8052191976130274,58
580021,SAN PATRICIO DEL  CHAÑAR,-38.5950644241867167,-68.348288492322709,58
580028,LAS COLORADAS,-39.6076912118786737,-70.5825186548069325,58
580035,PIEDRA DEL  ÁGUILA,-40.0556599804127629,-70.0814261575928157,58
580042,CENTENARIO,-38.7973834665027297,-68.1756656510973471,58
580049,CUTRAL CÓ,-38.9398936598765957,-69.2541458274132964,58
580056,NEUQUÉN,-38.9446959754993003,-68.1001766838423208,58
580063,PLAZA HUINCUL,-38.9406582608027279,-69.1598555722786443,58
580070,PLOTTIER,-38.9486355466446099,-68.2772667713434203,58
580077,SENILLOSA,-38.9122912366410958,-68.6767926458881135,58
580084,VILLA EL CHOCÓN,-39.2563688848299535,-68.84087188529152,58
580091,VISTA ALEGRE,-38.7688687995695673,-68.2001640971801493,58
580098,CHOS MALAL,-37.35513994230827,-70.2702475118703376,58
580105,TRICAO MALAL,-37.044430466401252,-70.3654033463116804,58
