nombre,cod_prov,cod_depto,cod_loc,cod_bahra,tipo_bahra,lat,lon
TODD,06,077,020,06077020000,LS,-34.0328240475348,-60.1562270065746
VIÑA,06,077,030,06077030000,LS,-33.9922765156087,-60.2263211205477
BARKER,06,084,010,06084010000,LS,-37.6424111302365,-59.3889380312927
BENITO JUAREZ,06,084,020,06084020000,LS,-37.6766410210105,-59.8057677109444
LOPEZ,06,084,030,06084030000,LS,-37.5545120854221,-59.6278461536299
TEDIN URIBURU,06,084,040,06084040000,LS,-37.3683686253208,-59.7630391604187
VILLA CACIQUE,06,084,050,06084050000,LS,-37.6704778893557,-59.4003533386514
BERAZATEGUI,06,091,010,06091010001,E,-34.7597493264937,-58.2019645234278
BERAZATEGUI OESTE,06,091,010,06091010002,E,-34.7804201858899,-58.2415010261207
CARLOS TOMAS SOURIGUES,06,091,010,06091010003,E,-34.8021192214631,-58.2188212494897
EL PATO,06,091,010,06091010004,E,-34.9067557072114,-58.1966995021239
GUILLERMO ENRIQUE HUDSON,06,091,010,06091010005,E,-34.7897594857633,-58.1439692638183
JUAN MARIA GUTIERREZ,06,091,010,06091010006,E,-34.8348420760566,-58.1819061125702
PEREYRA,06,091,010,06091010007,E,-34.8471945391094,-58.1392765205344
PLATANOS,06,091,010,06091010008,E,-34.7674201820877,-58.1652686003148
RANELAGH,06,091,010,06091010009,E,-34.7941468501172,-58.1989815634425
VILLA ESPAÑA,06,091,010,06091010010,E,-34.776063416904,-58.2002532983623
BARRIO BANCO PROVINCIA,06,098,010,06098010001,E,-34.8752589900973,-57.8550856662876
BARRIO EL CARMEN (ESTE),06,098,010,06098010002,E,-34.9293102150655,-57.8853552505795
BARRIO UNIVERSITARIO,06,098,010,06098010003,E,-34.9027528834433,-57.9270884333304
BERISSO,06,098,010,06098010004,E,-34.8746353679645,-57.8947472316799
LOS TALAS,06,098,010,06098010005,E,-34.9190209219847,-57.7909954962894
VILLA ARGÜELLO,06,098,010,06098010006,E,-34.9053981881099,-57.9180815078165
VILLA DOLORES,06,098,010,06098010007,E,-34.8802085383888,-57.8663036732616
VILLA INDEPENDENCIA,06,098,010,06098010008,E,-34.8829519743895,-57.8614892695719
VILLA NUEVA,06,098,010,06098010009,E,-34.8957079362353,-57.9108816644737
VILLA PORTEÑA,06,098,010,06098010010,E,-34.891043310448,-57.8963773978494
VILLA PROGRESO,06,098,010,06098010011,E,-34.9308766123633,-57.8468799885622
VILLA SAN CARLOS,06,098,010,06098010012,E,-34.8838130805,-57.87701595642
VILLA ZULA,06,098,010,06098010013,E,-34.9221646298322,-57.8009664840662
HALE,06,105,010,06105010000,LS,-36.0010429767568,-60.8534495072374
JUAN F. IBARRA,06,105,020,06105020000,LS,-36.3498770527922,-61.2552591224518
PAULA,06,105,040,06105040000,LS,-36.5053183545527,-61.0243287245345
PIROVANO,06,105,050,06105050000,LS,-36.5109170215402,-61.5545516558692
SAN CARLOS DE BOLIVAR,06,105,060,06105060000,LS,-36.2295602208798,-61.1131898679983
URDAMPILLETA,06,105,070,06105070000,LS,-36.4329292363695,-61.4191160192421
VILLA LYNCH PUEYRREDON,06,105,080,06105080000,LS,-36.6025793254646,-61.3618625494725
ASAMBLEA,06,112,005,06112005000,LS,-35.2267581272748,-60.4168952837295
BRAGADO,06,112,010,06112010000,LS,-35.118942299763,-60.4879147568209
COMODORO PY,06,112,020,06112020000,LS,-35.3233100374631,-60.5217314911689
GENERAL O'BRIEN,06,112,030,06112030000,LS,-34.9067979091956,-60.7597838238054
IRALA,06,112,040,06112040000,LS,-34.7718230311122,-60.6916912010278
LA LIMPIA,06,112,050,06112050000,LS,-35.0797272650156,-60.5928546665185
MAXIMO FERNANDEZ,06,112,060,06112060000,LS,-35.0615246745825,-60.7060741424473
MECHITA,06,112,070,06112070000,LC,-35.0699378566803,-60.4084937925362
OLASCOAGA,06,112,080,06112080000,LS,-35.2375277927366,-60.6115341696178
WARNES,06,112,090,06112090000,LS,-34.9098734445057,-60.5381681629003
ALTAMIRANO,06,119,010,06119010000,LS,-35.3615828022139,-58.1504868159157
BARRIO EL MIRADOR,06,119,015,06119015000,LS,-35.3145370547125,-58.0484420796345
BARRIO LAS GOLONDRINAS,06,119,020,06119020000,LS,-35.0335777783556,-58.1935382681817
BARRIO LOS BOSQUECITOS,06,119,030,06119030000,LS,-35.1050389949725,-58.1835007859607
BARRIO PARQUE LAS ACACIAS,06,119,040,06119040000,LS,-35.1030329461442,-58.2730405375653
CAMPOS DE ROCA,06,119,045,06119045000,LS,-35.1149772603157,-58.0953896541907
CORONEL BRANDSEN,06,119,050,06119050000,LS,-35.1690983002919,-58.2373529446643
CLUB DE CAMPO LAS MALVINAS,06,119,055,06119055000,LS,-35.2139978115731,-58.2433030920635
GOMEZ,06,119,060,06119060000,LS,-35.0693655332834,-58.1656899882306
JEPPENER,06,119,070,06119070000,LS,-35.2802043920968,-58.1996649431989
OLIDEN,06,119,080,06119080000,LS,-35.1842584334678,-57.9479623248001
POSADA DE LOS LAGOS,06,119,085,06119085000,LS,-35.1499383981993,-58.0504528667351
SAMBOROMBON,06,119,090,06119090000,LS,-35.2206242719966,-58.2805297949826
ALTO LOS CARDALES,06,126,010,06126010000,LC,-34.3160243688815,-58.9784574815339
BARRIO LOS PIONEROS,06,126,020,06126020000,LS,-34.2530406367633,-58.9584400368589
CAMPANA,06,126,030,06126030000,LS,-34.1639618118269,-58.9588741035355
CHACRAS DEL RIO LUJAN,06,126,035,06126035000,LC,-34.2934153226239,-58.921199044246
LOMAS DEL RIO LUJAN,06,126,040,06126040000,LC,-34.2816770641806,-58.8911906524052
ALEJANDRO PETION,06,134,010,06134010000,LS,-34.9793768508134,-58.6749430768989
BARRIO EL TALADRO,06,134,020,06134020000,LS,-35.0742486164225,-58.8632420603475
CAÑUELAS,06,134,030,06134030000,LS,-35.0527140350539,-58.7583856965375
GOBERNADOR UDAONDO,06,134,040,06134040000,LS,-35.3003271130454,-58.5943053657455
BARRIO BELGRANO,06,134,050,06134050001,E,-34.9022941561353,-58.6479010170021
MAXIMO PAZ,06,134,050,06134050002,E,-34.9364563092157,-58.6143957995956
SANTA ROSA,06,134,060,06134060000,LS,-34.9611839371811,-58.7308918275978
URIBELARREA,06,134,070,06134070000,LS,-35.1227364407356,-58.8904871463421
VICENTE CASARES,06,134,080,06134080000,LS,-34.9653526702416,-58.6504979594296
CAPITAN SARMIENTO,06,140,010,06140010000,LS,-34.1723674255219,-59.789349139091
LA LUISA,06,140,020,06140020000,LS,-34.1285572110784,-59.9240058312679
BELLOCQ,06,147,010,06147010000,LS,-35.9189705554631,-61.5312630222769
CADRET,06,147,020,06147020000,LS,-35.7727531397053,-61.3353879836968
CARLOS CASARES,06,147,030,06147030000,LS,-35.623543502046,-61.3653159121918
COLONIA MAURICIO,06,147,040,06147040000,LS,-35.5249595511909,-61.4378670824782
HORTENSIA,06,147,050,06147050000,LS,-35.9277092575349,-61.262290153739
LA SOFIA,06,147,060,06147060000,LS,-35.7003907357414,-61.1702865161871
MAURICIO HIRSCH,06,147,070,06147070000,LS,-35.583017649873,-61.5244457086778
MOCTEZUMA,06,147,080,06147080000,LS,-35.4774725641963,-61.4930734927677
ORDOQUI,06,147,090,06147090000,LS,-35.8831262095535,-61.1594280439031
SANTO TOMAS,06,147,095,06147095000,LS,-35.6740915009624,-61.5066664301675
SMITH,06,147,100,06147100000,LS,-35.4946290260766,-61.5937811081594
CARLOS TEJEDOR,06,154,010,06154010000,LS,-35.3925733302196,-62.4193023144118
COLONIA SERE,06,154,020,06154020000,LS,-35.4388157700903,-62.7252382146864
CURARU,06,154,030,06154030000,LS,-35.6403503028113,-62.1924372294866
TIMOTE,06,154,040,06154040000,LS,-35.3477615165229,-62.2246532791856
TRES ALGARROBOS,06,154,050,06154050000,LS,-35.1979815144911,-62.7730814064669
CARMEN DE ARECO,06,161,010,06161010000,LS,-34.3776987251735,-59.8229019801033
PUEBLO GOUIN,06,161,020,06161020000,LS,-34.4951191416005,-59.8029737383366
TRES SARGENTOS,06,161,030,06161030000,LS,-34.4664778301466,-60.0008697422009
CASTELLI,06,168,010,06168010000,LS,-36.091694119436,-57.8071801619355
CENTRO GUERRERO,06,168,020,06168020000,LS,-36.0570621940227,-57.8235422591576
CERRO DE LA GLORIA (CANAL 15),06,168,030,06168030000,LS,-35.9760530599951,-57.4487354447874
COLON,06,175,010,06175010000,LS,-33.8978633606345,-61.099560506382
EL ARBOLITO,06,175,020,06175020000,LC,-33.9147838019682,-60.9438081845998
PEARSON,06,175,030,06175030000,LS,-33.6518963027432,-60.8922239880462
SARASA,06,175,040,06175040000,LS,-34.0523353092344,-61.2019040914739
BAJO HONDO,06,182,010,06182010000,LS,-38.7648159927502,-61.9184051093309
BALNEARIO PEHUEN CO,06,182,020,06182020000,LS,-38.9961963948629,-61.5471990087107
PAGO CHICO,06,182,025,06182025000,LS,-38.7839402799391,-62.1195194756714
PUNTA ALTA,06,182,030,06182030001,E,-38.8823547797498,-62.0626706347168
VILLA DEL MAR,06,182,030,06182030002,E,-38.8532242630709,-62.1164752039925
VILLA GENERAL ARIAS,06,182,050,06182050000,LS,-38.8069001411051,-62.09498539538
APARICIO,06,189,010,06189010000,LS,-38.6204949120776,-60.8809603426407
BALNEARIO MARISOL,06,189,020,06189020000,LS,-38.9224906889726,-60.5329774471942
CORONEL DORREGO,06,189,030,06189030000,LS,-38.7166239148323,-61.2884948879698
EL PERDIDO,06,189,040,06189040000,LS,-38.6757752787604,-61.0884421797928
FARO,06,189,050,06189050000,LS,-38.7966781095909,-61.0688772134763
IRENE,06,189,060,06189060000,LS,-38.5543426342658,-60.6954938748393
ORIENTE,06,189,070,06189070000,LS,-38.7388491145692,-60.6092238150829
LA RUTA,06,189,075,06189075000,LS,-38.6534164106777,-60.8608557685895
SAN ROMAN,06,189,080,06189080000,LS,-38.7415550885108,-61.5377200112301
CORONEL PRINGLES,06,196,010,06196010000,LS,-37.9865210556901,-61.3540715661069
EL DIVISORIO,06,196,020,06196020000,LS,-38.3235636030787,-61.4450578127822
EL PENSAMIENTO,06,196,030,06196030000,LS,-38.2154094275446,-61.3145847771451
INDIO RICO,06,196,040,06196040000,LS,-38.3293770967784,-60.8866340266383
LARTIGAU,06,196,050,06196050000,LS,-38.44591903663,-61.566096860456
